,sh,kingdom,phylum,class,order,family,genus,assignedLevel
1192,SH1258871.09FU,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__GS23,,,order
1195,SH1213758.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,,family
1196,SH1004406.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
1197,SH0915651.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Trapeliales,f__Trapeliaceae,g__Placopsis,genus
1198,SH1270494.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Clitopilus,genus
1199,SH0986239.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Amanitaceae,g__Amanita,genus
1200,SH1043428.09FU,k__Fungi,p__Ascomycota,,,,,phylum
1202,SH0954100.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Acarosporales,f__Acarosporaceae,g__Acarospora,genus
1204,SH1106643.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
1212,SH1057917.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,,,order
1214,SH1097050.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
1217,SH1078774.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
1220,SH0957028.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
1221,SH0968387.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Hermatomycetaceae,g__Hermatomyces,genus
1222,SH1331686.09FU,k__Fungi,p__Ascomycota,,,,,phylum
1223,SH0969073.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Acrospermales,,,order
1226,SH0910796.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
1227,SH0997892.09FU,k__Fungi,p__Ascomycota,,,,,phylum
1228,SH0909802.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
1230,SH0893884.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Trechisporales_fam_Incertae_sedis,g__Sistotremastrum,genus
